,Link,route_length,base_route
154,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/242,6,https://rmrj.usjr.edu.ph/
155,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/245,6,https://rmrj.usjr.edu.ph/
156,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/25,6,https://rmrj.usjr.edu.ph/
157,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/26,6,https://rmrj.usjr.edu.ph/
158,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/260,6,https://rmrj.usjr.edu.ph/
159,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/267,6,https://rmrj.usjr.edu.ph/
160,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/27,6,https://rmrj.usjr.edu.ph/
161,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/270,6,https://rmrj.usjr.edu.ph/
162,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/274,6,https://rmrj.usjr.edu.ph/
163,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/276,6,https://rmrj.usjr.edu.ph/
164,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/28,6,https://rmrj.usjr.edu.ph/
165,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/280,6,https://rmrj.usjr.edu.ph/
166,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/29,6,https://rmrj.usjr.edu.ph/
167,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/299,6,https://rmrj.usjr.edu.ph/
168,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/30,6,https://rmrj.usjr.edu.ph/
169,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/304,6,https://rmrj.usjr.edu.ph/
170,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/31,6,https://rmrj.usjr.edu.ph/
171,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/312,6,https://rmrj.usjr.edu.ph/
172,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/32,6,https://rmrj.usjr.edu.ph/
173,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/324,6,https://rmrj.usjr.edu.ph/
174,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/33,6,https://rmrj.usjr.edu.ph/
175,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/34,6,https://rmrj.usjr.edu.ph/
176,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/35,6,https://rmrj.usjr.edu.ph/
177,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/36,6,https://rmrj.usjr.edu.ph/
178,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/37,6,https://rmrj.usjr.edu.ph/
179,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/38,6,https://rmrj.usjr.edu.ph/
180,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/387,6,https://rmrj.usjr.edu.ph/
181,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/39,6,https://rmrj.usjr.edu.ph/
182,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/40,6,https://rmrj.usjr.edu.ph/
183,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/41,6,https://rmrj.usjr.edu.ph/
184,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/42,6,https://rmrj.usjr.edu.ph/
185,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/43,6,https://rmrj.usjr.edu.ph/
186,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/44,6,https://rmrj.usjr.edu.ph/
187,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/45,6,https://rmrj.usjr.edu.ph/
188,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/46,6,https://rmrj.usjr.edu.ph/
189,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/47,6,https://rmrj.usjr.edu.ph/
190,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/48,6,https://rmrj.usjr.edu.ph/
191,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/49,6,https://rmrj.usjr.edu.ph/
192,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/491,6,https://rmrj.usjr.edu.ph/
193,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/50,6,https://rmrj.usjr.edu.ph/
194,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/51,6,https://rmrj.usjr.edu.ph/
195,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/52,6,https://rmrj.usjr.edu.ph/
196,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/53,6,https://rmrj.usjr.edu.ph/
197,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/532,6,https://rmrj.usjr.edu.ph/
198,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/54,6,https://rmrj.usjr.edu.ph/
199,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/55,6,https://rmrj.usjr.edu.ph/
200,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/550,6,https://rmrj.usjr.edu.ph/
201,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/56,6,https://rmrj.usjr.edu.ph/
202,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/57,6,https://rmrj.usjr.edu.ph/
203,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/58,6,https://rmrj.usjr.edu.ph/
204,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/586,6,https://rmrj.usjr.edu.ph/
205,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/587,6,https://rmrj.usjr.edu.ph/
206,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/59,6,https://rmrj.usjr.edu.ph/
207,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/60,6,https://rmrj.usjr.edu.ph/
208,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/61,6,https://rmrj.usjr.edu.ph/
209,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/614,6,https://rmrj.usjr.edu.ph/
210,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/619,6,https://rmrj.usjr.edu.ph/
211,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/62,6,https://rmrj.usjr.edu.ph/
212,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/625,6,https://rmrj.usjr.edu.ph/
213,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/63,6,https://rmrj.usjr.edu.ph/
214,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/631,6,https://rmrj.usjr.edu.ph/
215,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/64,6,https://rmrj.usjr.edu.ph/
216,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/65,6,https://rmrj.usjr.edu.ph/
217,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/66,6,https://rmrj.usjr.edu.ph/
218,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/67,6,https://rmrj.usjr.edu.ph/
219,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/68,6,https://rmrj.usjr.edu.ph/
220,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/680,6,https://rmrj.usjr.edu.ph/
